FID IID CEU YRI NAM
2427 NA19919 0.0822579532123387 0.883013594644952 0.0347284521427093
2431 NA19916 0.15219791594783 0.84780208405217 0
2424 NA19835 0.124370298806156 0.875629701193844 0
2469 NA20282 0.342212407701332 0.657787592298668 0
2368 NA19703 0.286246635842937 0.713753364157063 0
2425 NA19902 0.158322407011248 0.841677592988752 0
2425 NA19901 0.105927817265889 0.894072182734111 0
2427 NA19908 0.158805465461321 0.841194534538679 0
2430 NA19914 0.286315644192947 0.713684355807053 0
2470 NA20287 0.137481885308122 0.862518114691878 0
2484 NA20335 0.261093092264164 0.738906907735836 0
2436 NA19713 0.269046304602857 0.730953695397143 0
2426 NA19904 0.335259816437789 0.664740183562211 0
2431 NA19917 0.324718790973708 0.675281209026292 0
2436 NA19982 0.0457525360568629 0.954247463943137 0
2487 NA20340 0.246446069974467 0.753553930025533 0
2475 NA20297 0.00526188668828928 0.981592022634739 0.0131460906769719
2427 NA19909 0.0682837623352426 0.869660478917949 0.0620557587468084
2424 NA19834 0.28686771099303 0.71313228900697 0
2480 NA20317 0.147988406597198 0.852011593402802 0
2418 NA19818 0.0768925539990339 0.923107446000966 0
2471 NA20290 0.202660271892899 0.797339728107101 0
2474 NA20295 0.31093437305914 0.68906562694086 0
2490 NA20346 0.00431302187564695 0.789886826305983 0.20580015181837
2433 NA19921 0.380753571182113 0.509436891863915 0.109809536953971
2469 NA20281 0.320164239873025 0.675729763301359 0.0041059968256159
2495 NA20359 0.349561796977434 0.650438203022566 0
2477 NA20301 0.304188806845628 0.676954661514043 0.0188565316403285
2492 NA20349 0.333707128562556 0.65419915809813 0.0120937133393141
2474 NA20294 0.327168587399075 0.672831412600925 0
2485 NA20337 0.152542957697881 0.843057759988959 0.00439928231315989
2494 NA20357 0.0946276999516941 0.905372300048306 0
2425 NA19900 0.161358774411704 0.838641225588296 0
2446 NA20128 0.273687116141053 0.726312883858947 0
2491 NA20348 0.502829342350424 0.497170657649576 0
2471 NA20289 0.290076599268511 0.709923400731489 0
2489 NA20344 0.27120281554068 0.716703471120006 0.0120937133393141
2483 NA20333 0.18173348975226 0.81826651024774 0
2466 NA20277 0.350372645090056 0.649627354909944 0
2476 NA20300 0.108015319853702 0.600631426402595 0.291353253743703
2418 NA19819 0.0410427161686564 0.958957283831344 0
2488 NA20343 0.19446553032917 0.80553446967083 0
2357 NA19625 0.186926368090539 0.673452487751018 0.139621144158443
2483 NA20332 0.215444068732317 0.784555931267683 0
2367 NA19700 0.135687668207853 0.864312331792147 0
2472 NA20291 0.0053826513008074 0.994617348699193 0
2488 NA20342 0.428973155751846 0.571026844248154 0
2484 NA20334 0.324580774273687 0.675419225726313 0
2494 NA20356 0.157011248361052 0.842988751638948 0
2472 NA20292 0.258350010351252 0.741649989648748 0
2492 NA20350 0.00853978331378097 0.991460216686219 0
2436 NA19983 0.132478779932372 0.86486439859223 0.00265682147539852
2467 NA20279 0.230315368159547 0.769684631840453 0
2470 NA20288 0.2853322752053 0.7146677247947 0
2469 NA20284 0.241287695811193 0.758712304188807 0
2371 NA19712 0.076513008073977 0.923486991926023 0
2481 NA20322 0.345766337726865 0.654233662273135 0
2368 NA19704 0.101459526602719 0.898540473397281 0
2437 NA19714 0.159046994686357 0.840953005313643 0
2367 NA19701 0.384014215720102 0.60126975364019 0.0147160306397074
2494 NA20358 0.186167276240425 0.813832723759575 0
2496 NA20363 0.143623628459044 0.825305361948796 0.0310710095921607
2495 NA20360 0.310451314609068 0.689548685390932 0
2433 NA20129 0.128648816506797 0.871351183493203 0
2368 NA19705 0.119349941342902 0.880650058657098 0
2424 NA19836 0.135722172382858 0.864277827617142 0
2480 NA20319 0.265526878752329 0.734473121247671 0
2489 NA20345 0.168328617762749 0.831671382237251 0
2477 NA20302 0.28986957421848 0.71013042578152 0
2371 NA19711 0.0584500724587675 0.941549927541232 0
2490 NA20347 0.0633324132219999 0.731557518459734 0.205110068318267
2367 NA19702 0.205196328755779 0.783658822717549 0.0111448485266717
2446 NA20126 0.315350907459803 0.684649092540197 0
2496 NA20364 0.200055206680008 0.768873783727831 0.0310710095921607
2485 NA20336 0.289610792905942 0.710389207094058 0
2430 NA19915 0.175936788351391 0.82406321164861 0
2369 NA19708 0.446294251604444 0.553705748395556 0
2487 NA20341 0.429628735076944 0.570371264923056 0
2431 NA19918 0.217686840107653 0.782313159892347 0
2418 NA19828 0.0836381202125457 0.916361879787454 0
2437 NA19985 0.277310054516597 0.722689945483403 0
2466 NA20276 0.218652957007798 0.747636464012145 0.0337105789800566
2446 NA20127 0.149937892484991 0.850062107515009 0
2437 NA19984 0.0553101925332965 0.944689807466704 0
2476 NA20298 0.0136118970395418 0.957646125181147 0.0287419777793113
2493 NA20351 0.185873990752881 0.726726933959009 0.0873990752881099
2505 NA20412 0.417966323925195 0.414170864674626 0.167862811400179
